Category,City,Country/Region,Manufacturer,Order Date,Order ID,Product Name,Region,Segment,Ship Date,Ship Mode,State/Province,Sub-Category,Discount,Profit,Quantity,Sales
Office Supplies,Philadelphia,United States,GBC,2021-01-16,US-2021-115791,GBC Linen Binding Covers,East,Consumer,2021-01-18,Second Class,Pennsylvania,Binders,0.7,-13.6312,2,18.588
Office Supplies,Philadelphia,United States,Other,2021-01-16,US-2021-115791,Round Specialty Laser Printer Labels,East,Consumer,2021-01-18,Second Class,Pennsylvania,Labels,0.2,10.1493,3,30.072
Technology,Philadelphia,United States,AT&T,2021-01-16,US-2021-115791,AT&T 841000 Phone,East,Consumer,2021-01-18,Second Class,Pennsylvania,Phones,0.4,-31.05,3,124.2
Office Supplies,Springfield,United States,Fellowes,2021-01-18,US-2021-123477,Fellowes Mighty 8 Compact Surge Protector,West,Corporate,2021-01-21,Second Class,Oregon,Appliances,0.2,6.4864,4,64.864
Furniture,Scottsdale,United States,O'Sullivan,2021-01-19,US-2021-146591,O'Sullivan 4-Shelf Bookcase in Odessa Pine,West,Consumer,2021-01-20,First Class,Arizona,Bookcases,0.7,-320.597,5,181.47
Office Supplies,Scottsdale,United States,GBC,2021-01-19,US-2021-146591,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,Consumer,2021-01-20,First Class,Arizona,Binders,0.7,-23.716,10,32.34
Office Supplies,Scottsdale,United States,Tyvek,2021-01-19,US-2021-146591,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",West,Consumer,2021-01-20,First Class,Arizona,Envelopes,0.2,36.693,5,108.72
Office Supplies,Scottsdale,United States,TOPS,2021-01-19,US-2021-146591,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",West,Consumer,2021-01-20,First Class,Arizona,Paper,0.2,19.6224,4,56.064
Furniture,Jonesboro,United States,Hon,2021-01-20,US-2021-147627,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,South,Consumer,2021-01-26,Standard Class,Arkansas,Chairs,0,224.2674,3,1067.94
Furniture,Westland,United States,Ultra,2021-01-20,US-2021-167927,Ultra Door Push Plate,Central,Consumer,2021-01-26,Standard Class,Michigan,Furnishings,0,4.8609,3,14.73
Furniture,Westland,United States,Eldon,2021-01-20,US-2021-167927,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Central,Consumer,2021-01-26,Standard Class,Michigan,Furnishings,0,30.0234,3,272.94
Furniture,Jonesboro,United States,Eldon,2021-01-20,US-2021-147627,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",South,Consumer,2021-01-26,Standard Class,Arkansas,Furnishings,0,11.58,4,38.6
Furniture,Los Angeles,United States,Eldon,2021-01-20,US-2021-148614,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",West,Consumer,2021-01-25,Standard Class,California,Furnishings,0,5.79,2,19.3
Office Supplies,Westland,United States,Holmes,2021-01-20,US-2021-167927,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,Consumer,2021-01-26,Standard Class,Michigan,Appliances,0.1,93.5816,4,247.716
Office Supplies,Jonesboro,United States,Newell,2021-01-20,US-2021-147627,Newell 351,South,Consumer,2021-01-26,Standard Class,Arkansas,Art,0,6.6584,7,22.96
Office Supplies,Jonesboro,United States,Newell,2021-01-20,US-2021-147627,Newell 327,South,Consumer,2021-01-26,Standard Class,Arkansas,Art,0,1.7901,3,6.63
Office Supplies,Westland,United States,Panasonic,2021-01-20,US-2021-167927,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Central,Consumer,2021-01-26,Standard Class,Michigan,Art,0,12.7368,3,43.92
Office Supplies,Westland,United States,Acco,2021-01-20,US-2021-167927,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Central,Consumer,2021-01-26,Standard Class,Michigan,Binders,0,8.9535,5,19.05
Office Supplies,Smyrna,United States,GBC,2021-01-20,US-2021-147774,GBC DocuBind TL200 Manual Binding Machine,South,Corporate,2021-01-26,Standard Class,Tennessee,Binders,0.7,-51.5154,1,67.194
Office Supplies,Westland,United States,Storex,2021-01-20,US-2021-167927,Storex Dura Pro Binders,Central,Consumer,2021-01-26,Standard Class,Michigan,Binders,0,13.365,5,29.7
Office Supplies,Jonesboro,United States,Staple envelope,2021-01-20,US-2021-147627,Staple envelope,South,Consumer,2021-01-26,Standard Class,Arkansas,Envelopes,0,10.9698,3,23.34
Office Supplies,Los Angeles,United States,Wirebound,2021-01-20,US-2021-148614,"Wirebound Service Call Books, 5 1/2"" x 4""",West,Consumer,2021-01-25,Standard Class,California,Paper,0,9.2928,2,19.36
Office Supplies,Westland,United States,Eldon,2021-01-20,US-2021-167927,Eldon Fold 'N Roll Cart System,Central,Consumer,2021-01-26,Standard Class,Michigan,Storage,0,4.0542,1,13.98
Office Supplies,Westland,United States,Fellowes,2021-01-20,US-2021-167927,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Central,Consumer,2021-01-26,Standard Class,Michigan,Storage,0,15.9792,2,66.58
Technology,Jonesboro,United States,Apple,2021-01-20,US-2021-147627,Apple iPhone 5C,South,Consumer,2021-01-26,Standard Class,Arkansas,Phones,0,181.9818,7,699.93
Furniture,Miami,United States,Ultra,2021-01-21,US-2021-110422,Ultra Door Pull Handle,South,Consumer,2021-01-23,Second Class,Florida,Furnishings,0.2,4.1028,3,25.248
Furniture,Toronto,Canada,Eldon,2021-01-21,CA-2021-115238,"Eldon Imàge Series Desk Accessories, Clear",East,Corporate,2021-01-24,Standard Class,Ontario,Furnishings,0,10.45,5,24.3
Furniture,Toronto,Canada,DAX,2021-01-21,CA-2021-115238,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",East,Corporate,2021-01-24,Standard Class,Ontario,Furnishings,0,3.79,1,9.48
Furniture,Toronto,Canada,Eldon,2021-01-21,CA-2021-115238,"Eldon 200 Class Desk Accessories, Burgundy",East,Corporate,2021-01-24,Standard Class,Ontario,Furnishings,0,13.19,5,31.4
Office Supplies,Toronto,Canada,Other,2021-01-21,CA-2021-115238,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),East,Corporate,2021-01-24,Standard Class,Ontario,Paper,0,3.11,1,6.48
Technology,Toronto,Canada,Other,2021-01-21,CA-2021-115238,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",East,Corporate,2021-01-24,Standard Class,Ontario,Phones,0,58.66,10,209.5
Office Supplies,Lafayette,United States,Alliance,2021-01-23,US-2021-146997,"Alliance Big Bands Rubber Bands, 12/Pack",Central,Consumer,2021-01-27,Standard Class,Indiana,Fasteners,0,0,3,5.94
Office Supplies,Las Vegas,United States,Xerox,2021-01-23,US-2021-102645,Xerox 195,West,Consumer,2021-01-28,Standard Class,Nevada,Paper,0,19.2384,6,40.08
Furniture,Rapid City,United States,SAFCO,2021-01-26,US-2021-167997,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Central,Corporate,2021-01-29,First Class,South Dakota,Bookcases,0,39.7488,2,141.96
Furniture,Alexandria,United States,Eldon,2021-01-26,US-2021-155502,Eldon Image Series Black Desk Accessories,South,Home Office,2021-01-31,Standard Class,Virginia,Furnishings,0,4.4712,3,12.42
Furniture,Alexandria,United States,GE,2021-01-26,US-2021-155502,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",South,Home Office,2021-01-31,Standard Class,Virginia,Furnishings,0,30.7818,3,62.82
Office Supplies,Rapid City,United States,Wilson Jones,2021-01-26,US-2021-167997,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Central,Corporate,2021-01-29,First Class,South Dakota,Binders,0,5.0196,2,10.68
Office Supplies,Alexandria,United States,REDIFORM,2021-01-26,US-2021-155502,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",South,Home Office,2021-01-31,Standard Class,Virginia,Paper,0,8.34,2,16.68
Office Supplies,Alexandria,United States,Eureka,2021-01-26,US-2021-155502,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",South,Home Office,2021-01-31,Standard Class,Virginia,Paper,0,9.3312,3,19.44
Office Supplies,Alexandria,United States,SAFCO,2021-01-26,US-2021-155502,"SAFCO Commercial Wire Shelving, 72h",South,Home Office,2021-01-31,Standard Class,Virginia,Storage,0,0,8,489.92
Technology,Alexandria,United States,Jabra,2021-01-26,US-2021-155502,Jabra SPEAK 410,South,Home Office,2021-01-31,Standard Class,Virginia,Phones,0,52.6344,2,187.98
Technology,Alexandria,United States,Other,2021-01-26,US-2021-155502,Macally Suction Cup Mount,South,Home Office,2021-01-31,Standard Class,Virginia,Phones,0,0,13,155.35
Furniture,San Diego,United States,Balt,2021-01-27,US-2021-117163,Balt Split Level Computer Training Table,West,Consumer,2021-02-02,Standard Class,California,Tables,0.2,-16.65,3,333
Office Supplies,San Diego,United States,Dixon,2021-01-27,US-2021-117163,Dixon Ticonderoga Core-Lock Colored Pencils,West,Consumer,2021-02-02,Standard Class,California,Art,0,12.0252,4,36.44
Office Supplies,San Diego,United States,Other,2021-01-27,US-2021-117163,Recycled Steel Personal File for Hanging File Folders,West,Consumer,2021-02-02,Standard Class,California,Storage,0,14.3075,1,57.23
Office Supplies,New York City,United States,Pressboard,2021-01-28,US-2021-100328,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",East,Consumer,2021-02-03,Standard Class,New York,Binders,0.2,1.3257,1,3.928
Office Supplies,Detroit,United States,Xerox,2021-01-30,US-2021-134103,Xerox 1972,Central,Consumer,2021-02-04,Standard Class,Michigan,Paper,0,4.752,2,10.56
Office Supplies,Detroit,United States,Space Solutions,2021-01-30,US-2021-134103,Space Solutions HD Industrial Steel Shelving.,Central,Consumer,2021-02-04,Standard Class,Michigan,Storage,0,6.8982,2,229.94
Furniture,Mission Viejo,United States,Sauder,2021-01-31,US-2021-115161,"Sauder Facets Collection Library, Sky Alder Finish",West,Consumer,2021-02-02,First Class,California,Bookcases,0.15,3.4196,2,290.666
Technology,Green Bay,United States,Enermax,2021-02-01,US-2021-140795,Enermax Aurora Lite Keyboard,Central,Consumer,2021-02-03,First Class,Wisconsin,Accessories,0,206.316,6,468.9
Office Supplies,Saint Petersburg,United States,Other,2021-02-02,US-2021-123400,Surelock Post Binders,South,Consumer,2021-02-09,Standard Class,Florida,Binders,0.7,-12.224,2,18.336
Office Supplies,San Diego,United States,Other,2021-02-02,US-2021-139857,Staples,West,Home Office,2021-02-06,Standard Class,California,Fasteners,0,5.8045,5,12.35
Technology,Saint Petersburg,United States,AT&T,2021-02-02,US-2021-123400,AT&T 17929 Lendline Telephone,South,Consumer,2021-02-09,Standard Class,Florida,Phones,0.2,13.572,5,180.96
Office Supplies,Seattle,United States,Avery,2021-02-03,US-2021-111059,Avery Durable Poly Binders,West,Consumer,2021-02-06,Second Class,Washington,Binders,0.2,4.3134,3,13.272
Office Supplies,Seattle,United States,Ibico,2021-02-03,US-2021-111059,Ibico Laser Imprintable Binding System Covers,West,Consumer,2021-02-06,Second Class,Washington,Binders,0.2,27.248,2,83.84
Office Supplies,Escondido,United States,GBC,2021-02-04,US-2021-104808,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,Corporate,2021-02-08,Second Class,California,Binders,0.2,6.0368,2,17.248
Office Supplies,San Diego,United States,GBC,2021-02-04,US-2021-107181,GBC Recycled Grain Textured Covers,West,Home Office,2021-02-08,Standard Class,California,Binders,0.2,29.0136,3,82.896
Office Supplies,San Diego,United States,Message Book,2021-02-04,US-2021-107181,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",West,Home Office,2021-02-08,Standard Class,California,Paper,0,16.0928,4,34.24
Office Supplies,Romeoville,United States,Avery,2021-02-06,US-2021-108182,"Avery Flip-Chart Easel Binder, Black",Central,Consumer,2021-02-10,Second Class,Illinois,Binders,0.8,-14.7708,2,8.952
Office Supplies,Chesapeake,United States,Avery,2021-02-06,US-2021-131905,Avery 480,South,Corporate,2021-02-09,First Class,Virginia,Labels,0,7.2,4,15
Technology,Chesapeake,United States,AT&T,2021-02-06,US-2021-131905,AT&T CL82213,South,Corporate,2021-02-09,First Class,Virginia,Phones,0,42.0355,5,144.95
Technology,Chesapeake,United States,Other,2021-02-06,US-2021-131905,Aastra 57i VoIP phone,South,Corporate,2021-02-09,First Class,Virginia,Phones,0,42.0186,1,161.61
Office Supplies,New York City,United States,Acco,2021-02-07,US-2021-169390,Acco Perma 4000 Stacking Storage Drawers,East,Corporate,2021-02-10,Second Class,New York,Storage,0,9.744,4,64.96
Technology,Linden,United States,Maxell,2021-02-07,US-2021-107755,Maxell DVD-RAM Discs,East,Corporate,2021-02-12,Standard Class,New Jersey,Accessories,0,49.6048,7,115.36
Furniture,North Las Vegas,United States,Master Caster,2021-02-08,US-2021-125759,"Master Caster Door Stop, Large Brown",West,Home Office,2021-02-09,First Class,Nevada,Furnishings,0,5.5328,2,14.56
Furniture,Columbia,United States,Global,2021-02-11,US-2021-168368,"Global Value Mid-Back Manager's Chair, Gray",Central,Consumer,2021-02-15,Second Class,Missouri,Chairs,0,15.2225,1,60.89
Furniture,Columbia,United States,Other,2021-02-11,US-2021-168368,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Central,Consumer,2021-02-15,Second Class,Missouri,Furnishings,0,53.2704,3,332.94
Furniture,Chesapeake,United States,Hon,2021-02-11,US-2021-127614,Hon 2111 Invitation Series Corner Table,South,Consumer,2021-02-15,Standard Class,Virginia,Tables,0,75.3732,6,1256.22
Office Supplies,Chesapeake,United States,Wilson Jones,2021-02-11,US-2021-127614,Wilson Jones Leather-Like Binders with DublLock Round Rings,South,Consumer,2021-02-15,Standard Class,Virginia,Binders,0,8.2062,2,17.46
Office Supplies,Columbia,United States,Other,2021-02-11,US-2021-168368,VariCap6 Expandable Binder,Central,Consumer,2021-02-15,Second Class,Missouri,Binders,0,24.393,3,51.9
Office Supplies,Columbia,United States,Wilson Jones,2021-02-11,US-2021-168368,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Central,Consumer,2021-02-15,Second Class,Missouri,Binders,0,4.4344,2,9.64
Office Supplies,Columbia,United States,Avery,2021-02-11,US-2021-168368,Avery 483,Central,Consumer,2021-02-15,Second Class,Missouri,Labels,0,6.8724,3,14.94
Office Supplies,Columbia,United States,Fellowes,2021-02-11,US-2021-168368,Fellowes Neat Ideas Storage Cubes,Central,Consumer,2021-02-15,Second Class,Missouri,Storage,0,2.5984,2,64.96
Technology,Chesapeake,United States,Enermax,2021-02-11,US-2021-127614,Enermax Aurora Lite Keyboard,South,Consumer,2021-02-15,Standard Class,Virginia,Accessories,0,103.158,3,234.45
Furniture,Concord,United States,Global,2021-02-12,US-2021-110674,"Global Geo Office Task Chair, Gray",West,Consumer,2021-02-18,Standard Class,California,Chairs,0.2,-24.294,2,129.568
Office Supplies,Seattle,United States,Belkin,2021-02-14,US-2021-121762,Belkin 8 Outlet Surge Protector,West,Corporate,2021-02-18,Standard Class,Washington,Appliances,0,22.9488,2,81.96
Office Supplies,Houston,United States,Other,2021-02-14,US-2021-107706,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Central,Consumer,2021-02-19,Second Class,Texas,Paper,0.2,6.066,3,16.176
Office Supplies,Seattle,United States,Other,2021-02-14,US-2021-121762,Compact Automatic Electric Letter Opener,West,Corporate,2021-02-18,Standard Class,Washington,Supplies,0,4.7724,2,238.62
Technology,Seattle,United States,Logitech,2021-02-14,US-2021-121762,Logitech G600 MMO Gaming Mouse,West,Corporate,2021-02-18,Standard Class,Washington,Accessories,0,86.3892,3,239.97
Office Supplies,Seattle,United States,Pressboard,2021-02-15,US-2021-165568,Pressboard Data Binders by Wilson Jones,West,Corporate,2021-02-19,Standard Class,Washington,Binders,0.2,7.209,5,21.36
Office Supplies,Dallas,United States,Holmes,2021-02-16,US-2021-122567,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",Central,Consumer,2021-02-21,Standard Class,Texas,Appliances,0.8,-13.93,2,7.96
Office Supplies,Dallas,United States,Wilson Jones,2021-02-16,US-2021-122567,Wilson Jones Easy Flow II Sheet Lifters,Central,Consumer,2021-02-21,Standard Class,Texas,Binders,0.8,-1.728,3,1.08
Office Supplies,Chicago,United States,Staples in misc. colors,2021-02-17,US-2021-154165,Staples in misc. colors,Central,Consumer,2021-02-24,Standard Class,Illinois,Art,0.2,8.8088,14,54.208
Furniture,Lubbock,United States,DAX,2021-02-18,US-2021-165589,"DAX Copper Panel Document Frame, 5 x 7 Size",Central,Consumer,2021-02-18,Same Day,Texas,Furnishings,0.6,-11.322,5,25.16
Office Supplies,Arlington,United States,Akro,2021-02-18,US-2021-152905,Akro Stacking Bins,Central,Consumer,2021-02-24,Standard Class,Texas,Storage,0.2,-2.5248,2,12.624
Furniture,Richmond,United States,Master Caster,2021-02-20,US-2021-109491,"Master Caster Door Stop, Brown",Central,Corporate,2021-02-26,Standard Class,Indiana,Furnishings,0,6.9088,4,20.32
Office Supplies,Los Angeles,United States,Xerox,2021-02-20,US-2021-164903,Xerox 204,West,Home Office,2021-02-24,Standard Class,California,Paper,0,6.2208,2,12.96
Technology,Richmond,United States,Enermax,2021-02-20,US-2021-109491,Enermax Briskie RF Wireless Keyboard and Mouse Combo,Central,Corporate,2021-02-26,Standard Class,Indiana,Accessories,0,22.4316,3,62.31
Office Supplies,Woodstock,United States,GBC,2021-02-21,US-2021-165540,GBC Standard Plastic Binding Systems Combs,Central,Consumer,2021-02-25,Standard Class,Illinois,Binders,0.8,-13.7175,5,8.85
Office Supplies,Moreno Valley,United States,Xerox,2021-02-22,US-2021-133354,Xerox 220,West,Consumer,2021-02-24,First Class,California,Paper,0,9.3312,3,19.44
Office Supplies,El Paso,United States,GBC,2021-02-23,US-2021-103744,GBC Plastic Binding Combs,Central,Home Office,2021-02-27,Standard Class,Texas,Binders,0.8,-6.8634,3,4.428
Office Supplies,El Paso,United States,Staple-on labels,2021-02-23,US-2021-103744,Staple-on labels,Central,Home Office,2021-02-27,Standard Class,Texas,Labels,0.2,2.3409,3,6.936
Office Supplies,Medford,United States,TOPS,2021-02-24,US-2021-137680,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",West,Consumer,2021-03-02,Standard Class,Oregon,Paper,0.2,7.6869,3,22.776
Office Supplies,Medford,United States,Message Book,2021-02-24,US-2021-137680,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",West,Consumer,2021-03-02,Standard Class,Oregon,Paper,0.2,11.1024,4,32.896
Office Supplies,Columbus,United States,Zebra,2021-02-27,US-2021-156545,Zebra Zazzle Fluorescent Highlighters,East,Consumer,2021-03-03,First Class,Ohio,Art,0.2,3.4048,4,19.456
Furniture,Elmhurst,United States,Novimex,2021-03-01,US-2021-113880,Novimex Swivel Fabric Task Chair,Central,Home Office,2021-03-05,Standard Class,Illinois,Chairs,0.3,-172.1172,6,634.116
Furniture,El Paso,United States,Other,2021-03-01,US-2021-131009,Harbour Creations Steel Folding Chair,Central,Consumer,2021-03-05,Standard Class,Texas,Chairs,0.3,0,6,362.25
Furniture,Seattle,United States,Global,2021-03-01,US-2021-104269,Global Deluxe High-Back Manager's Chair,West,Consumer,2021-03-06,Second Class,Washington,Chairs,0.2,51.4764,2,457.568
Furniture,El Paso,United States,DAX,2021-03-01,US-2021-131009,DAX Black Cherry Wood-Tone Poster Frame,Central,Consumer,2021-03-05,Standard Class,Texas,Furnishings,0.6,-34.9536,6,63.552
Furniture,Houston,United States,Bevis,2021-03-01,US-2021-168312,Bevis Round Conference Room Tables and Bases,Central,Consumer,2021-03-07,Standard Class,Texas,Tables,0.3,-43.0296,3,376.509
Office Supplies,El Paso,United States,Other,2021-03-01,US-2021-131009,Plymouth Boxed Rubber Bands by Plymouth,Central,Consumer,2021-03-05,Standard Class,Texas,Fasteners,0.2,-3.5325,5,18.84
Office Supplies,Elmhurst,United States,Other,2021-03-01,US-2021-113880,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",Central,Home Office,2021-03-05,Standard Class,Illinois,Paper,0.2,5.6784,3,17.472
Office Supplies,El Paso,United States,Fellowes,2021-03-01,US-2021-131009,Fellowes Bankers Box Recycled Super Stor/Drawer,Central,Consumer,2021-03-05,Standard Class,Texas,Storage,0.2,-22.6716,3,129.552
Office Supplies,Houston,United States,Other,2021-03-01,US-2021-168312,Recycled Steel Personal File for Hanging File Folders,Central,Consumer,2021-03-07,Standard Class,Texas,Storage,0.2,8.5845,3,137.352
Technology,New York City,United States,Other,2021-03-01,US-2021-143707,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,East,Home Office,2021-03-05,Standard Class,New York,Phones,0,1.6038,3,5.94
